genes	phenotypes
ACSM2B	HP:0003128
ACSM2B	HP:0003128
ACSM2B	HP:0005972
ACSM2B	HP:0006519
ACSM2B	HP:0012028
ACSM2B	HP:0012028
ACSM2B	HP:0033690
ACSM2B	HP:0001915
ACSM2B	HP:0001878
ACSM2B	HP:0001878
ACSM2B	HP:0001890
ACSM2B	HP:0001972
ACSM2B	HP:0005112
ACSM2B	HP:0011675
ACSM2B	HP:0011675
ACSM2B	HP:0011675
ACSM2B	HP:0001997
ACSM2B	HP:0001370
ACSM2B	HP:0001370
ACSM2B	HP:0001402
ACSM2B	HP:0001402
ACSM2B	HP:0001402
ACSM2B	HP:0001402
ACSM2B	HP:0001402
ACSM2B	HP:0030358
ACSM2B	HP:0025318
ACSM2B	HP:0005584
ACSM2B	HP:0002860
ACSM2B	HP:0002860
ACSM2B	HP:0033533
ACSM2B	HP:0033532
ACSM2B	HP:0001644
ACSM2B	HP:0001639
ACSM2B	HP:0001406
ACSM2B	HP:0040012
ACSM2B	HP:0100279
ACSM2B	HP:0001699
ACSM2B	HP:0100651
ACSM2B	HP:0100651
ACSM2B	HP:0005978
ACSM2B	HP:0000520
ACSM2B	HP:0033020
ACSM2B	HP:0000794
ACSM2B	HP:0000407
ACSM2B	HP:0001627
ACSM2B	HP:0002564
ACSM2B	HP:0001627
ACSM2B	HP:0002564
ACSM2B	HP:0001627
ACSM2B	HP:0002564
ACSM2B	HP:0001627
ACSM2B	HP:0002564
ACSM2B	HP:0001631
ACSM2B	HP:0001629
ACSM2B	HP:0002240
ACSM2B	HP:0001712
ACSM2B	HP:0000789
ACSM2B	HP:0008222
ACSM2B	HP:0008222
ACSM2B	HP:0008222
ACSM2B	HP:0003251
ACSM2B	HP:0003251
ACSM2B	HP:0008682
ACSM2B	HP:0004808
ACSM2B	HP:0004836
ACSM2B	HP:0002613
ACSM2B	HP:0004448
ACSM2B	HP:0006554
ACSM2B	HP:0004448
ACSM2B	HP:0006554
ACSM2B	HP:0002725
ACSM2B	HP:0002249
ACSM2B	HP:0011499
ACSM2B	HP:0002664
ACSM2B	HP:0006934
ACSM2B	HP:0000639
ACSM2B	HP:0012743
ACSM2B	HP:0001698
ACSM2B	HP:0000823
ACSM2B	HP:0000823
ACSM2B	HP:0000826
ACSM2B	HP:0001973
ACSM2B	HP:0012410
ACSM2B	HP:0031826
ACSM2B	HP:0031826
ACSM2B	HP:0003193
ACSM2B	HP:0002373
ACSM2B	HP:0003394
ACSM2B	HP:0031988
ACSM2B	HP:0011097
ACSM2B	HP:0033676
ACSM2B	HP:0004756
ACSM2B	HP:0012228
ACSM2B	HP:0000011
ACSM2B	HP:0005162
ACSM2B	HP:0005162
ACSM2B	HP:0001824
ACSM2B	HP:0004325
