#	0.10
# Downsampling 3946 samples to 496
# Starting genetic algorithm search
gen	nevals	fitness	fitness_std	fitness_max	fitness_min	threshold
0	40	0.682871	0.0104363	0.705818	0.657151	0.10
1	80	0.691455	0.0064192	0.703433	0.673943	0.10
2	80	0.696046	0.00542918	0.706182	0.683347	0.10
3	80	0.699514	0.00378683	0.706182	0.686324	0.10
4	80	0.702846	0.00362653	0.716224	0.694578	0.10
5	80	0.704131	0.00377503	0.716224	0.691267	0.10
6	80	0.705615	0.00340501	0.716224	0.697216	0.10
7	80	0.707008	0.0037995	0.716224	0.698219	0.10
8	80	0.709058	0.00279025	0.716224	0.704121	0.10
9	80	0.711524	0.00456254	0.723545	0.705124	0.10
10	80	0.712711	0.00380116	0.723545	0.706702	0.10
11	80	0.715462	0.00638593	0.723545	0.702254	0.10
12	80	0.718294	0.00502006	0.723545	0.708556	0.10
13	80	0.719894	0.00417552	0.723545	0.710881	0.10
14	80	0.72142	0.00391279	0.724405	0.708947	0.10
15	80	0.722502	0.00354751	0.724405	0.708947	0.10
16	80	0.723588	0.000187301	0.724405	0.723545	0.10
17	80	0.722433	0.00456	0.724405	0.701894	0.10
18	80	0.722715	0.00373165	0.724405	0.702819	0.10
19	80	0.723124	0.00304472	0.724405	0.70456	0.10
20	80	0.723561	0.00173256	0.726963	0.714433	0.10
21	80	0.723273	0.00349671	0.724405	0.702029	0.10
22	80	0.723526	0.00330055	0.724405	0.703563	0.10
23	80	0.723671	0.00294921	0.724405	0.705963	0.10
24	80	0.723644	0.00407353	0.724405	0.698266	0.10
25	80	0.724387	0.000499586	0.7257	0.721973	0.10
26	80	0.724165	0.00283843	0.726032	0.706698	0.10
27	80	0.723739	0.00432999	0.726032	0.69879	0.10
28	80	0.724157	0.00310362	0.726032	0.709883	0.10
29	80	0.724504	0.00273303	0.726963	0.709883	0.10
30	80	0.724012	0.00472198	0.726032	0.699569	0.10
31	80	0.723624	0.00675341	0.726032	0.690211	0.10
32	80	0.725761	0.000514625	0.726963	0.724405	0.10
33	80	0.725817	0.000529534	0.726963	0.724243	0.10
34	80	0.72599	0.000109749	0.726032	0.7257	0.10
35	80	0.725793	0.00138646	0.726032	0.717146	0.10
36	80	0.725724	0.00126787	0.726032	0.720206	0.10
37	80	0.726001	0.000149796	0.726032	0.725123	0.10
38	80	0.725061	0.00506377	0.726032	0.69396	0.10
39	80	0.725666	0.0014857	0.726032	0.717146	0.10
40	80	0.725964	0.000421443	0.726032	0.723332	0.10
41	80	0.726032	0	0.726032	0.726032	0.10
42	80	0.725979	0.000326032	0.726032	0.723943	0.10
43	80	0.725886	0.000909492	0.726032	0.720206	0.10
44	80	0.724964	0.00432038	0.726032	0.699395	0.10
45	80	0.725717	0.0014415	0.726032	0.717146	0.10
46	80	0.726003	0.000142479	0.726032	0.725123	0.10
47	80	0.725357	0.00414906	0.726032	0.699448	0.10
48	80	0.725494	0.00180502	0.726032	0.717146	0.10
49	80	0.725759	0.00127933	0.726789	0.720206	0.10
50	80	0.725905	0.000920153	0.726789	0.720206	0.10
51	80	0.726042	0.000130337	0.726789	0.7257	0.10
52	80	0.724598	0.00427383	0.726789	0.706552	0.10
53	80	0.725402	0.00204927	0.726789	0.718568	0.10
54	80	0.725616	0.00213738	0.727488	0.718568	0.10
55	80	0.725457	0.00222867	0.727488	0.718568	0.10
56	80	0.725166	0.00401585	0.727488	0.702816	0.10
57	80	0.724043	0.00654275	0.727488	0.702816	0.10
58	80	0.724861	0.00728144	0.727488	0.684949	0.10
59	80	0.72606	0.00394219	0.727488	0.703136	0.10
60	80	0.726198	0.00404845	0.728246	0.703136	0.10
61	80	0.727407	0.000400854	0.728246	0.726789	0.10
62	80	0.72743	0.000860362	0.728246	0.722731	0.10
63	80	0.726942	0.00338221	0.728246	0.707415	0.10
64	80	0.726826	0.00374786	0.728246	0.707415	0.10
65	80	0.727119	0.00363431	0.728246	0.707415	0.10
66	80	0.728227	0.000118276	0.728246	0.727488	0.10
67	80	0.726905	0.00586935	0.728246	0.695434	0.10
68	80	0.72761	0.00283258	0.728246	0.711213	0.10
69	80	0.727498	0.00198447	0.728246	0.721534	0.10
70	80	0.728246	0	0.728246	0.728246	0.10
71	80	0.72808	0.00103333	0.728246	0.721627	0.10
72	80	0.727912	0.00145271	0.728246	0.721534	0.10
73	80	0.727544	0.004382	0.728246	0.700178	0.10
74	80	0.72737	0.00392467	0.728246	0.703982	0.10
75	80	0.728007	0.00106979	0.728246	0.721627	0.10
76	80	0.727172	0.00494621	0.728246	0.697415	0.10
77	80	0.727773	0.00166342	0.728246	0.721627	0.10
78	80	0.727773	0.00166342	0.728246	0.721627	0.10
79	80	0.726473	0.00565861	0.728246	0.701954	0.10
80	80	0.726659	0.0046084	0.728246	0.703512	0.10
81	80	0.727446	0.002672	0.728246	0.71392	0.10
82	80	0.728118	0.000797372	0.728246	0.723138	0.10
